longitude,latitude,Name,heritageno
138.628343,-34.72686698,10 Sturton Road EDINBURGH,21955
140.4946033,-36.59707872,Riddoch Highway PADTHAWAY VIA NARACOORTE,14187
138.5912007,-34.95625818,181 Goodwood Road MILLSWOOD,3771
138.5902745,-34.95588185,181 Goodwood Road MILLSWOOD,3771
138.6079539,-34.95124911,183 Unley Road UNLEY,3776
138.9379588,-33.68188544,21 Commercial Street BURRA,14384
138.6290114,-34.84372587,Grand Junction Road NORTHFIELD,2959
138.6285957,-34.8439822,Grand Junction Road NORTHFIELD,2958
138.6284584,-34.84447157,Grand Junction Road NORTHFIELD,2956
138.4812789,-34.84892933,8 Park Avenue SEMAPHORE SOUTH,2987
138.6293962,-34.84461666,Grand Junction Road NORTHFIELD,2957
138.4806317,-34.83802001,74 Esplanade SEMAPHORE,1785
138.4799312,-34.8381451,End Semaphore Road SEMAPHORE,2980
138.4833826,-34.83848236,43 Semaphore Road SEMAPHORE,1788
138.4806875,-34.83857289,Semaphore Road SEMAPHORE,2982
138.4810616,-34.83881296,10-14 Semaphore Road SEMAPHORE,2985
138.4812265,-34.8387769,10-14 Semaphore Road SEMAPHORE,2984
138.5557179,-35.27138871,7 St Peters Terrace WILLUNGA,5272
138.5547786,-35.27144404,1 St Peters Terrace WILLUNGA,5277
138.5552433,-35.27221923,3-5 High Street WILLUNGA,5269
138.5600927,-35.27348236,St James Street WILLUNGA,5281
138.5546616,-35.27384621,17 St Andrews Terrace WILLUNGA,5270
138.5540678,-35.27390002,20 St Andrews Terrace WILLUNGA,5283
138.5586948,-35.2741242,51 High Street WILLUNGA,5280
138.5606072,-35.27501553,61 High Street WILLUNGA,5268
138.5574651,-35.27384151,38 High Street WILLUNGA,5278
138.5602401,-35.2739995,19 St James Street WILLUNGA,5282
138.5577793,-35.27405194,44 High Street WILLUNGA,5279
138.5597491,-35.27508425,62 High Street WILLUNGA,5273
138.5579979,-35.27709058,16 St Georges Street WILLUNGA,5276
138.5565173,-35.27720173,13-15 St Mary's Street WILLUNGA,5284
138.6065106,-34.90557748,102-120 Stanley Street NORTH ADELAIDE,1471
138.6064572,-34.90560621,102-120 Stanley Street NORTH ADELAIDE,1471
138.5948889,-34.90592698,142 Tynte Street NORTH ADELAIDE,1410
138.6064026,-34.90563553,102-120 Stanley Street NORTH ADELAIDE,1471
138.6063477,-34.90566654,102-120 Stanley Street NORTH ADELAIDE,1471
138.595058,-34.90597353,134-140 Tynte Street NORTH ADELAIDE,1649
138.6062928,-34.90569589,102-120 Stanley Street NORTH ADELAIDE,1471
138.5950007,-34.90598692,134-140 Tynte Street NORTH ADELAIDE,1649
138.6062394,-34.90572542,102-120 Stanley Street NORTH ADELAIDE,1471
138.5859387,-34.90638315,126 Buxton Street NORTH ADELAIDE,1645
138.6061858,-34.90575579,102-120 Stanley Street NORTH ADELAIDE,1471
138.5939831,-34.90618061,166-176 Tynte Street NORTH ADELAIDE,1413
138.5935285,-34.90624176,180 Tynte Street NORTH ADELAIDE,1414
138.6083446,-34.90586054,70 (rear) Melbourne Street NORTH ADELAIDE,1726
138.5856753,-34.90658621,134 Buxton Street NORTH ADELAIDE,1646
138.6066522,-34.90596324,109-113 Stanley Street NORTH ADELAIDE,1472
138.5884144,-34.90656657,67-75 Buxton Street NORTH ADELAIDE,1394
138.6085264,-34.90605478,70-72 Melbourne Street NORTH ADELAIDE,1377
138.5950633,-34.90641074,141 Tynte Street NORTH ADELAIDE,1409
138.5462525,-35.16880603,Chaffeys Road MCLAREN VALE,5243
138.5528804,-35.17043836,Chapel Hill Road MCLAREN VALE,5242
138.4884221,-35.17267285,Sauerbiers Road SEAFORD MEADOWS,5259
138.5540136,-35.17640664,Chaffeys Road MCLAREN VALE,5240
138.5026279,-35.1778761,Church Hill Road OLD NOARLUNGA,5254
138.6923478,-35.17415713,Old Coach Road KUITPO,21046
138.5495434,-35.18044681,Chaffeys Road MCLAREN VALE,5241
138.5621144,-35.18304159,Kays Road MCLAREN VALE,5244
138.4896013,-35.18918618,71 Griffiths Drive SEAFORD,5267
138.5005462,-35.19953683,Wheaton Road SEAFORD HEIGHTS,5239
138.6584675,-35.20337434,Wickham Hill Road KUITPO,5187
138.5924026,-34.90654447,62-80 Wellington Square NORTH ADELAIDE,1648
138.6115214,-34.90614883,1-5 MacKinnon Parade NORTH ADELAIDE,1466
138.6114518,-34.90618869,1-5 MacKinnon Parade NORTH ADELAIDE,1466
138.611371,-34.90621588,1-5 MacKinnon Parade NORTH ADELAIDE,1466
138.5984295,-34.90665471,62 Archer Street NORTH ADELAIDE,1427
138.611308,-34.90626368,1-5 MacKinnon Parade NORTH ADELAIDE,1466
138.5983624,-34.90665033,64 Archer Street NORTH ADELAIDE,20889
138.5982811,-34.90667254,66 Archer Street NORTH ADELAIDE,20888
138.598221,-34.90668787,68 Archer Street NORTH ADELAIDE,20887
138.5932832,-34.90681752,195 Tynte Street NORTH ADELAIDE,1650
138.6112279,-34.90630604,6-18 MacKinnon Parade NORTH ADELAIDE,1467
138.6111729,-34.90633699,6-18 MacKinnon Parade NORTH ADELAIDE,1467
138.5980521,-34.90672737,74 Archer Street NORTH ADELAIDE,1428
138.597979,-34.9067646,76 Archer Street NORTH ADELAIDE,20891
138.6110996,-34.90637504,6-18 MacKinnon Parade NORTH ADELAIDE,1467
138.5975609,-34.90681372,84 Archer Street NORTH ADELAIDE,1429
138.5979243,-34.90675563,78 Archer Street NORTH ADELAIDE,20886
138.61104,-34.90640802,6-18 MacKinnon Parade NORTH ADELAIDE,1467
138.6174002,-34.93457152,276-280 East Terrace ADELAIDE,1482
138.6082726,-34.93505047,261-265 South Terrace ADELAIDE,1496
138.6154925,-34.93479665,360 South Terrace ADELAIDE,1675
138.6062227,-34.93520168,239 South Terrace ADELAIDE,1676
138.5990352,-34.93556013,144 South Terrace ADELAIDE,1511
138.5989441,-34.93556185,142 South Terrace ADELAIDE,1512
138.5988749,-34.93557259,141 South Terrace ADELAIDE,1513
138.5957328,-34.93568591,97 South Terrace ADELAIDE,1510
138.6062026,-34.90842984,173 Melbourne Street NORTH ADELAIDE,1379
138.594897,-34.93401337,70 Whitmore Square ADELAIDE,1681
138.6039982,-34.92806306,82-96 Wakefield Street ADELAIDE,1364
138.6164364,-34.93049914,207 East Terrace ADELAIDE,1738
138.5985793,-34.90716422,61-65 Archer Street NORTH ADELAIDE,20892
138.6238935,-35.5540624,2 Coral Street VICTOR HARBOR,14568
138.6236521,-35.55435348,9 Railway Terrace VICTOR HARBOR,14571
138.6236664,-35.55451182,8 Railway Terrace VICTOR HARBOR,14572
138.6237616,-35.55369211,2-6 McKinlay Street VICTOR HARBOR,14577
138.6217923,-35.54089178,33-34 The Parkway VICTOR HARBOR,14588
138.6010336,-35.57528398,66 Franklin Parade ENCOUNTER BAY VIA VICTOR HARBOR,14589
138.6191776,-35.55507734,12-16 Burke Street VICTOR HARBOR,14590
138.6092317,-35.56597419,16 Gibson Avenue VICTOR HARBOR,14591
138.6232907,-35.5540698,32 - 44 Ocean Street VICTOR HARBOR,14569
138.6211345,-35.55616481,20-28 Victoria Street VICTOR HARBOR,14570
138.6228379,-35.55375011,45 Ocean Street VICTOR HARBOR,14573
138.6222967,-35.55414353,8-12 Coral Street VICTOR HARBOR,14574
138.6243901,-35.5535975,20-23 Flinders Parade VICTOR HARBOR,14576
138.6240676,-35.55454333,Railway Terrace VICTOR HARBOR,14578
138.6242258,-35.55576919,Railway Terrace VICTOR HARBOR,14578
138.6251167,-35.55505562,Esplanade Street VICTOR HARBOR,14579
138.6288366,-35.54465392,Goolwa Road VICTOR HARBOR,14580
138.5121789,-35.49636132,Inman Valley Road INMAN VALLEY,14581
138.6423006,-35.4682654,Victor Harbor Road VICTOR HARBOR,14582
138.5134478,-35.49659325,Mt Alma Road INMAN VALLEY,14583
138.6317565,-35.5625187,Granite Island VICTOR HARBOR,14584
138.6288499,-35.54116308,7-27 Adare Avenue VICTOR HARBOR,14586
138.6219567,-35.54650569,17-25 Renown Avenue VICTOR HARBOR,14587
138.6013503,-35.59022819,ENCOUNTER BAY VIA VICTOR HARBOR,14592
138.9268494,-35.1938517,"Highland Valley Road, near STRATHALBYN",14960
138.8907345,-35.24826624,Paris Creek Road STRATHALBYN,14983
138.8877863,-35.25428113,31 North Parade STRATHALBYN,14990
138.8922999,-35.25480726,7 High Street STRATHALBYN,14923
138.89237,-35.25628928,2 Alfred Place STRATHALBYN,14984
138.8909667,-35.2583598,Sunter Street STRATHALBYN,14959
138.8896026,-35.25730944,20 Commercial Road STRATHALBYN,14986
138.8921909,-35.25719997,Alfred Street STRATHALBYN,14935
138.8894774,-35.25783283,25 Commercial Road STRATHALBYN,14942
138.8896779,-35.25817234,27 Commercial Road STRATHALBYN,14941
138.8925278,-35.25874169,13 Rankine Street STRATHALBYN,14951
138.8901431,-35.25892731,33 Commercial Road STRATHALBYN,14934
138.8920019,-35.25889066,2 Albyn Terrace STRATHALBYN,14946
138.897112,-35.25877267,4 South Terrace STRATHALBYN,14961
138.8917913,-35.25895054,4-6 Albyn Terrace STRATHALBYN,14949
138.891639,-35.25900196,8 Albyn Terrace STRATHALBYN,14948
138.8915401,-35.25905712,10 Albyn Terrace STRATHALBYN,14945
138.8912262,-35.25920936,14 Albyn Terrace STRATHALBYN,14944
138.891059,-35.25928439,16 Albyn Terrace STRATHALBYN,14950
138.8957184,-35.25937727,12-14A South Terrace STRATHALBYN,14985
138.8908658,-35.25929429,18 Albyn Terrace STRATHALBYN,14947
138.8904576,-35.25939415,41-43 Commercial Road STRATHALBYN,14943
138.8932043,-35.26000311,1 Rankine Street STRATHALBYN,14922
138.8914318,-35.26013027,7 Dawson Street STRATHALBYN,14936
138.8920594,-35.26122706,20 South Terrace STRATHALBYN,14987
139.0469343,-35.30643621,Wellington Road LANGHORNE CREEK,14921
138.6113643,-35.34393787,Victor Harbor Road MOUNT COMPASS,14976
138.9710136,-35.40404823,5-7 Markland Street MILANG,14964
138.9731394,-35.40554763,46-50 Coxe Street MILANG,14966
138.9733575,-35.40643136,22-23 Daranda Terrace MILANG,14975
138.9699946,-35.40744093,Coxe Street MILANG,14965
138.9759374,-35.4081328,Lake Front MILANG,14967
138.7604347,-35.45446581,Off Goolwa - Strathalbyn Road CURRENCY CREEK,14924
