id,Record URL,XML,Name,Title,Publication,Description,Summary,Subject,Image,Series
b20602339,http://www.catalog.slsa.sa.gov.au/record=b2060233,http://www.catalog.slsa.sa.gov.au/xrecord=b2060233,"State Library of South Australia, photographer",Morphett Street,1960,Photograph  14.1 cm x 8.0 cm,"Morphett Street, west side, 23 September 1960. Left side of Depot building abuts north side of Grote Street. Frontage: 28 yards",,http://images.slsa.sa.gov.au/mpcimg/14500/B14401.jpg,313
b20602340,http://www.catalog.slsa.sa.gov.au/record=b2060234,http://www.catalog.slsa.sa.gov.au/xrecord=b2060234,"State Library of South Australia, photographer","Morphett Street, West Side",1972,Photograph  21 cm x 15.5 cm,"Morphett Street, west side, 23 June 1972. Left of building is 50 yards north of Grote Street. Morphett Street frontage: 29 1/3 yards",,http://images.slsa.sa.gov.au/mpcimg/26750/B26563.jpg,313
b20602352,http://www.catalog.slsa.sa.gov.au/record=b2060235,http://www.catalog.slsa.sa.gov.au/xrecord=b2060235,"State Library of South Australia, photographer","Morphett Street, West Side",1972,Photograph  21 cm x 15 cm,"Morphett Street, west side, 23 June 1972. Left side of building is 50 yards north of Grote Street. Morphett Street frontage is 29 1/3 yards",,http://images.slsa.sa.gov.au/mpcimg/26750/B26564.jpg,313
b20602364,http://www.catalog.slsa.sa.gov.au/record=b2060236,http://www.catalog.slsa.sa.gov.au/xrecord=b2060236,"State Library of South Australia, photographer","Morphett Street, West Side",1972,Photograph  21 cm x 15.5 cm,"Morphett Street, west side, 23 June 1972. Left of building is 50 yards north of Grote Street. Morphett Street frontage is 29 1/3 yards",,http://images.slsa.sa.gov.au/mpcimg/26750/B26565.jpg,313
b20602376,http://www.catalog.slsa.sa.gov.au/record=b2060237,http://www.catalog.slsa.sa.gov.au/xrecord=b2060237,"State Library of South Australia, photographer","Grote Street, North Side",1976,Photograph  20.3 cm x 17.1 cm,"Grote Street, north side, 22 October 1976. Grote Street frontage: 28 metres. Morphett Street frontage: 13 metres",,http://images.slsa.sa.gov.au/mpcimg/32750/B32589.jpg,313
b20602388,http://www.catalog.slsa.sa.gov.au/record=b2060238,http://www.catalog.slsa.sa.gov.au/xrecord=b2060238,"State Library of South Australia, photographer","Grote Street, North Side",1976,Photograph  20.2 cm x 17.1 cm,"Grote Street, north side. Grote Street frontage: 28 metres. Morphett Street frontage: 13 metres",,http://images.slsa.sa.gov.au/mpcimg/32750/B32590.jpg,313
b20602157,http://www.catalog.slsa.sa.gov.au/record=b2060215,http://www.catalog.slsa.sa.gov.au/xrecord=b2060215,"State Library of South Australia, photographer",Andrew Street,1954,Photograph  14.3 cm x 8.3 cm,"Andrew Street, south side, 7 June 1954. Right side of Miramar Service Station is 34 1/2 yards east of Morphett Street, Frontage: 5 1/2 yards",,http://images.slsa.sa.gov.au/mpcimg/13250/B13074.jpg,312
b20602169,http://www.catalog.slsa.sa.gov.au/record=b2060216,http://www.catalog.slsa.sa.gov.au/xrecord=b2060216,"State Library of South Australia, photographer",Morphett Street,1956,Photograph  14.1 cm x 8.0 cm,"Morphett Street, east side, 27 December 1956. Left side of Weston's building abuts south side of Andrew Street. Frontage: 10 1/4 yards",,http://images.slsa.sa.gov.au/mpcimg/14000/B13825.jpg,312
b20602170,http://www.catalog.slsa.sa.gov.au/record=b2060217,http://www.catalog.slsa.sa.gov.au/xrecord=b2060217,"State Library of South Australia, photographer",Morphett Street,1958,Photograph  14.1 cm x 8.0 cm,"Morphett Street, east side, 27 February 1958. Right side of the light coloured building on left is 20 yards north of Andrew Street. Frontage of building is 10 1/2 yards",,http://images.slsa.sa.gov.au/mpcimg/14250/B14030.jpg,312
b20602182,http://www.catalog.slsa.sa.gov.au/record=b2060218,http://www.catalog.slsa.sa.gov.au/xrecord=b2060218,"State Library of South Australia, photographer",Morphett Street,1958,Photograph  14.1 cm x 8.0 cm,"Morphett Street, east side, 26 September 1958. Right side of no.228 abuts Andrew Street, north side. Frontage of the three garages is 30 yards. For another view see B14030",,http://images.slsa.sa.gov.au/mpcimg/14250/B14163.jpg,312
b20602194,http://www.catalog.slsa.sa.gov.au/record=b2060219,http://www.catalog.slsa.sa.gov.au/xrecord=b2060219,"State Library of South Australia, photographer",Grote Street,1962,Photograph  20.7 cm x 15.6 cm,"Grote Street, north side, 18 September 1962. The two storey building on left is on the corner of Grote and Morphett Streets",,http://images.slsa.sa.gov.au/mpcimg/14750/B14510.jpg,312
b20602200,http://www.catalog.slsa.sa.gov.au/record=b2060220,http://www.catalog.slsa.sa.gov.au/xrecord=b2060220,"State Library of South Australia, photographer",Grote Street,1962,Photograph  20.7 cm x 15.6 cm,"Grote Street, north side, 18 September 1962. The two storeyed building on the left lis on the corner of Grote and Morphett Streets",,http://images.slsa.sa.gov.au/mpcimg/14750/B14511.jpg,312
